"Idiom","Pinyin","Letter","Explanation","Synonym"
"运旺时盛","yùn wàng shí shèng","yun wang shi sheng","时运旺盛。指运道很好。",""
"云雾迷蒙","yún wù mí méng","yun wu mi meng","迷蒙：形容模糊不清的样子。云雾笼罩，使景物隐隐约约，看不清楚。",""
"云消雾散","yún xiāo wù sàn","yun xiao wu san","象烟云消散一样。比喻事物消失得干干净净。",""
"云消雨散","yún xiāo yǔ sàn","yun xiao yu san","比喻一切都成了过去。",""
"云行雨洽","yún xíng yǔ qià","yun xing yu qia","比喻广施恩泽。",""
"云行雨施","yún xíng yǔ shī","yun xing yu shi","施：施布。比喻广泛施行恩泽。",""
"云兴霞蔚","yún xīng xiá wèi","yun xing xia wei","象云霞升腾聚集起来。形容景物灿烂绚丽。",""
"云心鹤眼","yún xīn hè yǎn","yun xin he yan","比喻高远的处世态度。",""
"云心水性","yún xīn shuǐ xìng","yun xin shui xing","指女子作风轻浮，爱情不专一。",""
"云烟过眼","yún yān guò yǎn","yun yan guo yan","象烟云在眼前一晃而过。比喻事物很快就成为过去。也比喻身外之物，不必重视。也指荣华富贵转眼已成过去。",""
"运移时易","yùn yí shí yì","yun yi shi yi","指运数终尽，时势变易。",""
"云涌飙发","yún yǒng biāo fā","yun yong biao fa","飙狂风。云阵奔涌，狂风发作。形容文章气势磅礴。",""
"云涌风飞","yún yǒng fēng fēi","yun yong feng fei","云阵奔涌，狂风发作。形容文章气势磅礴。",""
"运用自如","yùn yòng zì rú","yun yong zi ru","运用得非常熟练自然。",""
"云尤雨殢","yún yóu yǔ tì","yun you yu ti","形容男女间情意缠绵。",""
"芸芸众生","yún yún zhòng shēng","yun yun zhong sheng","芸芸：形容众多；众生：原指一切生物，后指许多人。原指世间的一切生灵。后多指大群无知无识的人。",""
"云雨巫山","yún yǔ wū shān","yun yu wu shan","原指古代神话传说巫山神女兴云降雨的事。后称男女欢合。",""
"云朝雨暮","yún zhāo yǔ mù","yun zhao yu mu","指男女欢会之时。",""
"云蒸龙变","yún zhēng lóng biàn","yun zheng long bian","云气兴起，神龙飞动。比喻英雄豪杰遇时奋起。",""
"云蒸雾集","yún zhēng wù jí","yun zheng wu ji","如云雾之蒸腾会集。形容众多。",""
"云蒸霞蔚","yún zhēng xiá wèi","yun zheng xia wei","蒸：上升；蔚：聚集。象云霞升腾聚集起来。形容景物灿烂绚丽。",""
"远瞩高瞻","yuǎn zhǔ gāo zhān","yuan zhu gao zhan","犹言高瞻远瞩。",""
"远至迩安","yuǎn zhì ěr ān","yuan zhi er an","远方来归附，近民安居乐业。形容政治清明，国家大治。",""
"运智铺谋","yùn zhì pù móu","yun zhi pu mou","运用计谋。",""
"匀脂抹粉","yún zhī mǒ fěn","yun zhi mo fen","指妇女用脂粉装饰打扮。",""
"云中白鹤","yún zhōng bái hè","yun zhong bai he","象云彩中的白鹤一般。比喻志行高洁的人。",""
"云中仙鹤","yún zhōng xiān hè","yun zhong xian he","象云彩中的白鹤一般。比喻志行高洁的人。",""
"运转时来","yùn zhuǎn shí lái","yun zhuan shi lai","时机来了，运气也有了转机。指由逆境转为顺境。",""
"运拙时乖","yùn zhuō shí guāi","yun zhuo shi guai","指时运不佳，处于逆境。",""
"运拙时艰","yùn zhuō shí jiān","yun zhuo shi jian","指时运不佳，处于逆境。",""
"运之掌上","yùn zhī zhǎng shàng","yun zhi zhang shang","运运动，运转。运转于手掌之上。比喻极其容易。",""
"远走高飞","yuǎn zǒu gāo fēi","yuan zou gao fei","指象野兽远远跑掉，象鸟儿远远飞走。比喻人跑到很远的地方去。多指摆脱困境去寻找出路。",""
"玉佩琼琚","yù pèi qióng jū","yu pei qiong ju","玉佩玉做的佩饰。琼琚赤玉做的佩饰。①泛指玉制的佩饰。②对诗文作品的美称。",""
"有凭有据","yǒu píng yǒu jù","you ping you ju","既有凭证，又有依据。",""
"欲取姑予","yù qǔ gū yǔ","yu qu gu yu","姑：暂且；与：给与。要想夺取他些什么，得暂且先给他些什么。指先付出代价以诱使对方放松警惕，然后找机会夺取。",""
"逾墙窥蠙","yú qiáng kuī pín","yu qiang kui pin","指男女偷情。同逾墙钻穴”。",""
"逾墙窥隙","yú qiáng kuī xì","yu qiang kui xi","指男女偷情。",""
"逾墙越舍","yú qiáng yuè shě","yu qiang yue she","指翻墙越舍很快就走了。",""
"逾墙钻蠙","yú qiáng zuàn pín","yu qiang zuan pin","指男女偷情。同逾墙钻穴”。",""
"逾墙钻隙","yú qiáng zuān xì","yu qiang zuan xi","逾：越过；钻：穿孔，打眼。越墙、钻洞。指对女子作挑逗的行为。",""
"逾墙钻穴","yú qiáng zuàn xué","yu qiang zuan xue","指男女偷情。",""
"逾千越万","yú qiān yuè wàn","yu qian yue wan","指数字超过千或万。极言其多。",""
"有钱有势","yǒu qián yǒu shì","you qian you shi","既有钱财，又有势力。",""
"玉砌雕阑","yù qì diāo lán","yu qi diao lan","形容富丽的建筑物。",""
"有气没力","yǒu qì méi lì","you qi mei li","形容说话声音微弱，作事精神不振。也形容体弱无力。同有气无力”。",""
"欲擒故纵","yù qín gù zòng","yu qin gu zong","擒：捉；纵：放。故意先放开他，使他放松戒备，充分暴露，然后再把他捉住。",""
"寓情于景","yù qíng yú jǐng","yu qing yu jing","在景色的描写中寄托情感。",""
"有求必应","yǒu qiú bì yìng","you qiu bi ying","只要有人请求帮助，就一定答应。",""
"有气无力","yǒu qì wú lì","you qi wu li","形容说话声音微弱，作事精神不振。也形容体弱无力。",""
"有气无烟","yǒu qì wú yān","you qi wu yan","形容家中非常贫困，无米下锅。",""
"幽期密约","yōu qī mì yuē","you qi mi yue","幽期相爱男女幽会的时刻。指男女青年定期秘密会面。",""
"玉清冰洁","yù qīng bīng jié","yu qing bing jie","犹玉洁冰清。",""
"娱妻弄子","yú qī nòng zǐ","yu qi nong zi","和妻子儿女玩乐。",""
"予取予夺","yú qǔ yú duó","yu qu yu duo","从我处掠取。",""
"予取予求","yú qǔ yú qiú","yu qu yu qiu","予：我。原指从我这里取，从我这里求（财物）。后指任意索取。",""
"予取予携","yú qǔ yú xié","yu qu yu xie","从我处掠取。",""
"悠然自得","yōu rán zì dé","you ran zi de","悠然：闲适的样子；自得：内心得意舒适。形容悠闲而舒适。",""
"遇人不淑","yù rén bù shū","yu ren bu shu","淑：善，美。指女子嫁了一个品质不好的丈夫。",""
"渔人得利","yú rén dé lì","yu ren de li","趁着双方争执不下而从中得到好处。",""
"渔人之利","yú rén zhī lì","yu ren zhi li","渔人：比喻第三者。比喻双方争执不下，两败俱伤，让第三者占了便宜。",""
"鱼肉百姓","yú ròu bǎi xìng","yu rou bai xing","鱼肉指受宰割者◇比喻用暴力欺凌，任意残害无辜的人们。",""
"优柔寡断","yōu róu guǎ duàn","you rou gua duan","优柔：犹豫不决；寡：少。指做事犹豫，缺乏决断。",""
"鱼肉乡里","yú ròu xiāng lǐ","yu rou xiang li","鱼肉比喻受宰割；乡里老百姓。把地方上的老百姓当作鱼、肉一样任意宰割。",""
"优柔厌饫","yōu róu yàn yù","you rou yan yu","比喻为学之从容求索，深入体味。同优柔餍饫”",""
"优柔餍饫","yōu róu yàn yù","you rou yan yu","比喻为学之从容求索，深入体味。亦作优柔厌饫”。",""
"玉润冰清","yù rùn bīng qīng","yu run bing qing","像玉一样润泽，像冰一样清纯。常喻人或物形神之美。",""
"玉软花柔","yù ruǎn huā róu","yu ruan hua rou","形容女子娇嫩柔弱，如花似玉。",""
"玉润珠圆","yù rùn zhū yuán","yu run zhu yuan","润：细腻光滑。象珠子一样圆，象玉石一样光润。比喻歌声宛转优美，或文字流畅明快。",""
"玉汝于成","yù rǔ yú chéng","yu ru yu cheng","汝你。玉汝像爱惜玉一样爱护、帮助你。爱你如玉，帮助你，使你成功。多用于艰难困苦条件下。",""
"有三有俩","yǒu sān yǒu liǎng","you san you liang","指有富余钱财。",""
"有色眼镜","yǒu sè yǎn jìng","you se yan jing","比喻看待人或事物所抱的成见。",""
"舆死扶伤","yú sǐ fú shāng","yu si fu shang","指抬运死者，扶持伤者。形容死伤之众。",""
"有伤风化","yǒu shāng fēng huà","you shang feng hua","指对社会风俗、教育有不好影响的言行（多指男女关系方面）。",""
"逾山越海","yú shān yuè hǎi","yu shan yue hai","越过山海。指长途跋涉。",""
"逾沙轶漠","yú shā yì mò","yu sha yi mo","穿越沙漠。谓经历险远的路途。",""
"鬻声钓世","yù shēng diào shì","yu sheng diao shi","犹言沽名钓誉。",""
"鱼生空釜","yú shēng kōng fǔ","yu sheng kong fu","指贫穷得无粮可炊。",""
"优胜劣败","yōu shèng liè bài","you sheng lie bai","指生物在生存竞争中适应力强的保存下来，适应力差的被淘汰。这是达尔文进化论的一个基本论点。",""
"有生力量","yǒu shēng lì liàng","you sheng li liang","①原指军队中的兵员和马匹。亦泛指有战斗力的部队。②指充满活力的力量。",""
"鱼升龙门","yú shēng lóng mén","yu sheng long men","比喻举业成功或地位高升。",""
"有声没气","yǒu shēng méi qì","you sheng mei qi","形容说话无精打采。同有声无气”。",""
"余声三日","yú shēng sān rì","yu sheng san ri","形容乐声余韵无穷，不绝于耳。",""
"忧盛危明","yōu shèng wēi míng","you sheng wei ming","犹言居安思危。指随时有应付意外事件的思想准备。",""
"有声无气","yǒu shēng wú qì","you sheng wu qi","①形容人气息奄奄。②形容说话无精打采。",""
"有声无实","yǒu shēng wú shí","you sheng wu shi","犹言有名无实。光有空名，实际上并不是那样。",""
"有生以来","yǒu shēng yǐ lái","you sheng yi lai","从出生到现在。",""
"逾绳越契","yú shéng yuè qì","yu sheng yue qi","指在结绳、书契之前没有文字。绳、契指结绳、书契◇引申指不通文字。",""
"有声有色","yǒu shēng yǒu sè","you sheng you se","形容说话或表演精彩生动。",""
"有生之年","yǒu shēng zhī nián","you sheng zhi nian","一生之中最后的年月，即余年。",""
"忧深思远","yōu shēn sī yuǎn","you shen si yuan","深刻忧虑，长远打算。",""
"玉石不分","yù shí bù fēn","yu shi bu fen","比喻好坏不分。",""
"与世沉浮","yú shì chén fú","yu shi chen fu","与：和，同；世：指世人；沉浮：随波逐流。随大流，大家怎样，自己也怎样。",""
"玉石混淆","yù shí hùn xiáo","yu shi hun xiao","比喻好坏混杂。",""
"玉石皆碎","yù shí jiē suì","yu shi jie sui","犹玉石俱焚。",""
"玉食锦衣","yù shí jǐn yī","yu shi jin yi","锦衣鲜艳华美的衣服；玉食珍美的食品。精美的衣食。形容豪华奢侈的生活。",""
"玉石俱焚","yù shí jù fén","yu shi ju fen","美玉和石头一样烧坏。比喻好坏不分，同归于尽。","玉石俱摧|玉石俱碎"
"遇事生端","yù shì shēng duān","yu shi sheng duan","指好事者一有机会就借端兴风作浪。",""
"遇事生风","yù shì shēng fēng","yu shi sheng feng","原形容处事果断而迅速。后指一有机会就挑拔是非，引起事端。",""
"玉石同沉","yù shí tóng chén","yu shi tong chen","比喻善恶一齐受害。",""
"玉石同碎","yù shí tóng suì","yu shi tong sui","犹玉石俱焚。",""
"于事无补","yú shì wú bǔ","yu shi wu bu","对事情毫无补益。",""
"有恃无恐","yǒu shì wú kǒng","you shi wu kong","恃：倚仗，依靠；恐：害怕。因为有所依杖而毫不害怕，或毫无顾忌。",""
"有恃毋恐","yǒu shì wú kǒng","you shi wu kong","因为有所依杖而毫不害怕，或毫无顾忌。同有恃无恐”。",""
"与世无争","yú shì wú zhēng","yu shi wu zheng","不跟社会上的人发生争执。这是一种消极的回避矛盾的处世态度。",""
"玉石相揉","yù shí xiāng róu","yu shi xiang rou","比喻好坏混杂。",""
"玉石杂糅","yù shí zá róu","yu shi za rou","比喻好坏混杂。",""
"有事之秋","yǒu shì zhī qiū","you shi zhi qiu","指战争或多事故的年头。",""
"有识之士","yǒu shí zhī shì","you shi zhi shi","具有才能和远见卓识的人。",""
"余食赘行","yú shí zhuì xíng","yu shi zhui xing","吃剩的食物，身上的赘疣。比喻遭人讨厌的东西。",""
"遇水叠桥","yù shuǐ dié qiáo","yu shui die qiao","遇水阻拦，就架桥通过。形容不怕阻力，奋勇前进。",""
"遇水迭桥","yù shuǐ dié qiáo","yu shui die qiao","遇水阻拦，就架桥通过。形容不怕阻力，奋勇前进。",""
"鱼水和谐","yú shuǐ hé xié","yu shui he xie","形容夫妇关系和好谐调如鱼水。",""
"欲谁归罪","yu shui gui zhui","yu shui gui zhui","将要归罪于谁呢？",""
"遇水架桥","yù shuǐ jià qiáo","yu shui jia qiao","遇水阻拦，就架桥通过。形容不怕阻力，奋勇前进。",""
"玉树临风","yù shù lín fēng","yu shu lin feng","形容人风度潇洒，秀美多姿。亦作临风玉树”。",""
"玉树琼枝","yù shù qióng zhī","yu shu qiong zhi","①形容树木华美。②比喻贵家子弟。",""
"鱼水深情","yú shuǐ shēn qíng","yu shui shen qing","象鱼儿离不开水那样，关系密切，感情深厚。",""
"鱼水相欢","yú shuǐ xiāng huān","yu shui xiang huan","形容夫妇关系和好谐调如鱼水。",""
"鱼水相投","yú shuǐ xiāng tóu","yu shui xiang tou","形容夫妇关系和好谐调如鱼水。",""
"有说有笑","yǒu shuō yǒu xiào","you shuo you xiao","连说带笑。形容十分欢快。",""
"玉树芝兰","yù shù zhī lán","yu shu zhi lan","玉树用玉做的树；芝兰香草。比喻有出息的子弟。",""
"有始无终","yǒu shǐ wú zhōng","you shi wu zhong","有开始没有结尾。指做事不做到底。",""
"鱼书雁帛","yú shū yàn bó","yu shu yan bo","泛指书信。",""
"鱼书雁帖","yú shū yàn tiě","yu shu yan tie","泛指书信。",""
"鱼书雁信","yú shū yàn xìn","yu shu yan xin","泛指书信。",""
"有始有终","yǒu shǐ yǒu zhōng","you shi you zhong","有开头也有收尾。指做事能坚持到底。",""
"有始有卒","yǒu shǐ yǒu zú","you shi you zu","指做事能贯彻始终，坚持到底。",""
"有损无益","yǒu sǔn wú yì","you sun wu yi","损：减少，损失；益：增加，益处。只有减少，没有增加。也指只有损害，没有益处。",""
"欲速不达","yù sù bù dá","yu su bu da","欲想要。想求快速，反而不能达到目的。",""
"欲速反迟","yù sù fǎn chí","yu su fan chi","速快；迟慢。指过于性急图快，反而不能很快达到目的。",""
"玉碎香残","yù suì xiāng cán","yu sui xiang can","比喻美貌女子的死亡。",""
"玉碎香消","yù suì xiāng xiāo","yu sui xiang xiao","比喻女子死亡。",""
"玉碎香销","yù suì xiāng xiāo","yu sui xiang xiao","比喻女子的死。",""
"玉碎珠沉","yù suì zhū chén","yu sui zhu chen","比喻美女的死亡。",""
"有所作为","yǒu suǒ zuò wéi","you suo zuo wei","可以做事情，并能取得较大的成绩。",""
"鱼死网破","yú sǐ wǎng pò","yu si wang po","不是鱼死，就是网破。指拼个你死我活。",""
"有死无二","yǒu sǐ wú èr","you si wu er","表示意志坚定，虽死不变。",""
"玉堂金马","yù táng jīn mǎ","yu tang jin ma","玉堂：汉代殿名；金马：汉代宫门名，也称“金门”。旧时比喻才学优异而富贵显达。",""
"玉堂人物","yù táng rén wù","yu tang ren wu","泛指显贵的文士。",""
"优昙一现","yōu tán yī xiàn","you tan yi xian","优昙钵花如莲花十二瓣，一开即敛。比喻事物或景象稍现即逝，难得见到。",""
"余桃啖君","yú táo dàn jūn","yu tao dan jun","比喻爱憎喜怒无常。",""
"吁天呼地","yù tiān hū dì","yu tian hu di","呼天唤地。形容极度悲切。",""
"有天没日","yǒu tiān méi rì","you tian mei ri","比喻说话毫无畏惧和顾忌。",""
"有天无日","yǒu tiān wú rì","you tian wu ri","比喻社会非常黑暗，没有公道。",""
"有条不紊","yǒu tiáo bù wěn","you tiao bu wen","紊：乱。形容有条有理，一点不乱。",""
"有条有理","yǒu tiáo yǒu lǐ","you tiao you li","形容层次、脉络清楚。",""
"有头没脑","yǒu tóu méi nǎo","you tou mei nao","形容心神不定，言行丢三落四。",""
"有头无脑","yǒu tóu wú nǎo","you tou wu nao","形容蠢人。",""
"有头无尾","yǒu tóu wú wěi","you tou wu wei","有开头没有收尾。指没有把事情做完。",""
"有头有脸","yǒu tóu yǒu liǎn","you tou you lian","有面子；头面人物。",""
"有头有脑","yǒu tóu yǒu nǎo","you tou you nao","比喻有头绪，有条理。",""
"有头有尾","yǒu tóu yǒu wěi","you tou you wei","有开头，有结尾。指做事能坚持到底。",""
"余味无穷","yú wèi wú qióng","yu wei wu qiong","形容美妙的诗文、歌曲或可口的食物耐人回味。",""
"鱼尾雁行","yú wěi yàn xíng","yu wei yan xing","指兵轮行进之队列，一轮居中为首，其它轮船按人字形两旁依次排列，状如鱼尾，又如雁阵。",""
"有问必答","yǒu wèn bì dá","you wen bi da","有什么问题都给以解答。",""
"有闻必录","yǒu wén bì lù","you wen bi lu","闻：听到的；录：记录。听到什么，不管对不对，全都记录下来。",""
"渔翁得利","yú wēng dé lì","yu weng de li","趁着双方争执不下而从中得到好处。同渔人得利”。",""
"渔翁之利","yú wēng zhī lì","yu weng zhi li","犹言渔人之利。",""
"有文无行","yǒu wén wú xíng","you wen wu xing","虽有文才而人品不好。",""
"饫闻厌见","yù wén yàn jiàn","yu wen yan jian","饫闻：饱闻；厌见：饱见。指见闻甚多。",""
"鱼网鸿离","yú wǎng hóng lí","yu wang hong li","鸿：鸿雁；离：遭受。张网捕鱼，捉到的是鸿雁。比喻得到的不是自己想要的。",""
"遇物持平","yù wù chí píng","yu wu chi ping","指对待人和事持公正态度。",""
"有无相通","yǒu wú xiāng tōng","you wu xiang tong","互通有无，互相接济。",""
"有物有则","yǒu wù yǒu zé","you wu you ze","指天地间凡事物皆有其法则、规律。",""
"有我无人","yǒu wǒ wú rén","you wo wu ren","极言其自傲而轻视他人。",""
"余霞成绮","yú xiá chéng qǐ","yu xia cheng qi","晚霞象美丽的锦缎一样。形容晚霞色彩绚丽。",""
"逾闲荡检","yú xián dàng jiǎn","yu xian dang jian","逾、荡：超越；闲、检：指规矩、法度。指行为不规矩，不守礼法。",""
"鱼县鸟窜","yú xiàn niǎo cuàn","yu xian niao cuan","鱼被钓，鸟逃窜。比喻或受制于人，或飘泊流离，处境十分险困。县，通悬”。",""
"优贤扬历","yōu xián yáng lì","you xian yang li","指敬重贤才，表扬其事迹。亦作优贤飏历”。",""
"优贤飏历","yōu xián yáng lì","you xian yang li","指敬重贤才，表扬其事迹。同优贤扬历”。",""
"悠闲自在","yōu xián zì zài","you xian zi zai","闲暇舒适，无忧无虑。",""
"玉箫金琯","yù xiāo jīn guǎn","yu xiao jin guan","泛指雕饰华美的管乐器。",""
"玉箫金管","yù xiāo jīn guǎn","yu xiao jin guan","泛指雕饰华美的管乐器。同玉箫金琯”。",""
"余霞散绮","yú xiá sàn qǐ","yu xia san qi","常用来评论文章结尾有不尽之意。同余霞成绮”。",""
"有隙可乘","yǒu xì kě chèng","you xi ke cheng","指事情有漏洞可以利用。",""
"余响绕梁","yú xiǎng rào liáng","yu xiang rao liang","形容歌声高亢圆润，余韵无穷。亦比喻诗文意味深长，耐人寻味。",""
"忧形于色","yōu xíng yú sè","you xing yu se","形表现。忧虑的心情在脸上表现出来。形容抑制不住内心的忧虑。",""
"忧心忡忡","yōu xīn chōng chōng","you xin chong chong","忡忡：忧虑不安的样子。形容心事重重，非常忧愁。",""
"余腥残秽","yú xīng cán huì","yu xing can hui","指吃剩的食物。",""
"于心何忍","yú xīn hé rěn","yu xin he ren","怎能忍心。即内心不忍。",""
"忧心悄悄","yōu xīn qiāo qiāo","you xin qiao qiao","忧虑不安的样子。",""
"忧心如捣","yōu xīn rú dǎo","you xin ru dao","忧愁得像有东西在捣心一样。形容十分焦急。",""
"忧心如焚","yōu xīn rú fén","you xin ru fen","如焚：象火烧一样。心里愁得象火烧一样。形容非常忧虑焦急。",""
"有心无力","yǒu xīn wú lì","you xin wu li","有愿望和打算，但没有力量付诸实现。",""
"娱心悦目","yú xīn yuè mù","yu xin yue mu","娱、悦：使愉快。使心情愉快，耳目舒畅。",""
"有心有意","yǒu xīn yǒu yì","you xin you yi","犹言诚心诚意。形容十分真挚诚恳。",""
"浴血奋战","yù xuè fèn zhàn","yu xue fen zhan","形容顽强地拼死战斗。",""
"有血有肉","yǒu xuè yǒu ròu","you xue you rou","比喻富有生命的活力和内容。多用来形容文艺作品中人物形象生动。",""
"欲扬先抑","yù yáng xiān yì","yu yang xian yi","要发扬、放开，先控制、压抑。",""
"玉燕投怀","yù yàn tóu huái","yu yan tou huai","后作贺人生子的颂语。",""
"欲言又止","yù yán yòu zhǐ","yu yan you zhi","想说又停止不说。形容有难言的苦衷。",""
"有言在先","yǒu yán zài xiān","you yan zai xian","有话说在头里。指事先打了招呼。",""
"有一得一","yǒu yī dé yī","you yi de yi","不加也不减，有多少是多少。",""
"玉液金波","yù yè jīn bō","yu ye jin bo","比喻美酒。",""
"玉液金浆","yù yè jīn jiāng","yu ye jin jiang","比喻美酒。",""
"玉叶金枝","yù yè jīn zhī","yu ye jin zhi","封建时代称皇家后裔。",""
"玉液琼浆","yù yè qióng jiāng","yu ye qiong jiang","琼：美玉。用美玉制成的浆液，古代传说饮了它可以成仙。比喻美酒或甘美的浆汁。",""
"余业遗烈","yú yè yí liè","yu ye yi lie","遗留下来的事业与功绩。",""
"欲益反弊","yù yì fǎn bì","yu yi fan bi","犹言欲益反损。想把事情做好，结果反而弄坏。",""
"欲益反损","yù yì fǎn sǔn","yu yi fan sun","益：得益；损：损害。原想有所得益，结果反受损害。形容事与愿违。",""
"寓意深长","yù yì shēn cháng","yu yi shen chang","寄托或隐含的意思很深（多指语言文字或艺术作品）。",""
"寓意深远","yù yì shēn yuǎn","yu yi shen yuan","寄托或隐含的意思很深（多指语言文字或艺术作品）。",""
"有意无意","yǒu yì wú yì","you yi wu yi","又像是有意的，又像是无意的。存心与不经意。",""
"余勇可贾","yú yǒng kě gǔ","yu yong ke gu","余勇：剩下来的勇力；贾：卖。原意是说，我还有余力可卖，谁要就可以来买。表示还有力量没有用完。",""
"有勇无谋","yǒu yǒng wú móu","you yong wu mou","只有勇气，没有计谋。指做事或打仗只是猛打猛冲，缺乏计划，不讲策略。",""
"有勇有谋","yǒu yǒng yǒu móu","you yong you mou","勇勇气；谋计谋。既有胆量又有计谋。",""
"有勇知方","yǒu yǒng zhī fāng","you yong zhi fang","有勇气且知道义。",""
"余音缭绕","yú yīn liáo rào","yu yin liao rao","形容悦耳的歌声或乐曲使人听了不能一下子忘掉。",""
"余音袅袅","yú yīn niǎo niǎo","yu yin niao niao","形容音乐悦耳动听，令人沉醉。",""
"余音绕梁","yú yīn rào liáng","yu yin rao liang","形容歌声优美，给人留下难忘的印象。",""
"有眼如盲","yǒu yǎn rú máng","you yan ru mang","虽有眼睛，如同瞎子。指不认识著名人物，或不识大体。",""
"有眼无瞳","yǒu yǎn wú tóng","you yan wu tong","用来责骂人瞎了眼，看不见某人或某事物的伟大或重要。同有眼无珠”。",""
"有眼无珠","yǒu yǎn wú zhū","you yan wu zhu","珠：眼珠。没长眼珠子。用来责骂人瞎了眼，看不见某人或某事物的伟大或重要。",""
"优游不断","yōu yóu bù duàn","you you bu duan","指处世迟疑，没有决断。",""
"鱼游釜底","yú yóu fǔ dǐ","yu you fu di","鱼在锅里游。比喻处境十分危险，有行将灭亡之虞。",""
"鱼游沸鼎","yú yóu fèi dǐng","yu you fei ding","鱼在锅里游。比喻处境十分危险，有行将灭亡之虞。",""
"鱼游沸釜","yú yóu fèi fǔ","yu you fei fu","鱼在锅里游。比喻处境十分危险，有行将灭亡之虞。",""
"鱼游釜内","yú yóu fǔ nèi","yu you fu nei","鱼在锅里游。比喻处境十分危险，有行将灭亡之虞。",""
"鱼游釜中","yú yóu fǔ zhōng","yu you fu zhong","釜：锅。鱼在锅里游。比喻处境危险，快要灭亡。",""
"优游涵泳","yōu yóu hán yǒng","you you han yong","指从容求索，深入体会。",""
"鱼游濠上","yú yóu háo shàng","yu you hao shang","表示纵情山水、逍遥遨游。",""
"优游岁月","yōu yóu suì yuè","you you sui yue","悠闲舒适地过日子。",""
"鱼游燋釜","yú yóu zhuó fǔ","yu you zhuo fu","比喻处境危险，快要灭亡。燋，同灼”，火烧。同鱼游釜中”。",""
"优游自得","yōu yóu zì dé","you you zi de","指悠闲如意。",""
"悠游自得","yōu yóu zì dé","you you zi de","悠游：闲适的样子；自得：内心得意舒适。形容悠闲而舒适。",""
"优游自如","yōu yóu zì rú","you you zi ru","①悠闲适意，无拘无束。②犹言从容不迫。",""
"优游自若","yōu yóu zì ruò","you you zi ruo","从容不迫，不变常态。",""
"优游自适","yōu yóu zì shì","you you zi shi","悠闲适意。",""
"优游自在","yōu yóu zì zài","you you zi zai","指悠闲舒适。",""
"悠游自在","yōu yóu zì zài","you you zi zai","形容悠闲而舒适。同悠游自得”。",""
"优游卒岁","yōu yóu zú suì","you you zu sui","悠闲度日。",""
"玉宇琼楼","yù yǔ qióng lóu","yu yu qiong lou","①神话中仙人居住的宫殿。②形容覆雪的楼宇。",""
"有以善处","yǒu yǐ shàn chǔ","you yi shan chu","指正确对待，妥善处理。",""
"郁郁不乐","yù yù bù lè","yu yu bu le","郁郁：心里苦闷。闷闷不乐。",""
"郁郁苍苍","yù yù cāng cāng","yu yu cang cang","犹言郁郁葱葱。草木苍翠茂盛的样子。",""
"郁郁沉沉","yù yù chén chén","yu yu chen chen","深广的样子。",""
"郁郁葱葱","yù yù cōng cōng","yu yu cong cong","形容草木苍翠茂盛。也形容气势美好蓬勃。",""
"悠悠荡荡","yōu yōu dàng dàng","you you dang dang","形容摇摇晃晃，飘浮不定。",""
"鱼跃龙门","yú yuè lóng mén","yu yue long men","比喻举业成功或地位高升。",""
"鱼跃鸢飞","yú yuè yuān fēi","yu yue yuan fei","指万物各得其所。",""
"有约在先","yǒu yuē zài xiān","you yue zai xian","已经约定好了。指事情的处理方案已事先定好。",""
"郁郁寡欢","yù yù guǎ huān","yu yu gua huan","郁郁：发愁的样子；寡：少。形容心里苦闷。指闷闷不乐。",""
"悠悠忽忽","yōu yōu hū hū","you you hu hu","形容悠闲懒散或神志恍惚的样子。",""
"玉友金昆","yù yǒu jīn kūn","yu you jin kun","友、昆指兄弟。对他人兄弟的美称。",""
"郁郁累累","yù yù lěi lěi","yu yu lei lei","忧思不绝的样子。",""
"余韵流风","yú yùn liú fēng","yu yun liu feng","传留后世的韵致风度。",""
"郁郁芊芊","yù yù qiān qiān","yu yu qian qian","犹言郁郁葱葱。①草木苍翠茂盛的样子。②气盛的样子。",""
"鱼鱼雅雅","yú yú yǎ yǎ","yu yu ya ya","形容车驾前行威仪整肃的样子。",""
"有一无二","yǒu yī wú èr","you yi wu er","指事物独特，极难得。",""
"鱼与熊掌","yú yǔ xióng zhǎng","yu yu xiong zhang","比喻俱为所欲，难于取舍之物。",""
"优哉游哉","yōu zāi yóu zāi","you zai you zai","指生活悠闲自在。",""
"悠哉游哉","yōu zāi yóu zāi","you zai you zai","指悠闲自在。",""
"有增无损","yǒu zēng wú sǔn","you zeng wu sun","损损害，减少。仍在增加，不见减少。指事物向着某个方面不断深化。",""
"有增无已","yǒu zēng wú yǐ","you zeng wu yi","不断增加或不断扩展。",""
"有朝一日","yǒu zhāo yī rì","you zhao yi ri","将来有那么一天。",""
"有征无战","yǒu zhēng wú zhàn","you zheng wu zhan","指不战而胜。",""
"玉振金声","yù zhèn jīn shēng","yu zhen jin sheng","比喻文章道德之盛。",""
"有志竟成","yǒu zhì jìng chéng","you zhi jing cheng","竟：终于。只要有决心，有毅力，事情终究会成功。",""
"玉质金相","yù zhì jīn xiàng","yu zhi jin xiang","金、玉比喻美好；质本质；相外貌。比喻文章的形式和内容都完美。也形容人相貌端美。",""
"鱼质龙文","yú zhì lóng wén","yu zhi long wen","鱼的实质，龙的外表。谓虚有其表。",""
"有志无时","yǒu zhì wú shí","you zhi wu shi","有抱负而时运不济。",""
